instance,nodes,solved,done_reason,makespan,lowerbound
J3010_1.RCP,45542,0,time_limit,43,41
J3010_10.RCP,43938,0,time_limit,41,37
J3010_2.RCP,49306,0,time_limit,56,52
J3010_3.RCP,53447,0,time_limit,65,61
J3010_4.RCP,47166,0,time_limit,59,53
J3010_5.RCP,45918,0,time_limit,43,41
J3010_6.RCP,48865,0,time_limit,46,40
J3010_7.RCP,46449,0,time_limit,49,47
J3010_8.RCP,46120,0,time_limit,59,50
J3010_9.RCP,32,1,search_exhausted,49,49
J3011_1.RCP,50669,0,time_limit,55,52
J3011_10.RCP,1101,1,search_exhausted,38,38
J3011_2.RCP,40106,1,search_exhausted,56,56
J3011_3.RCP,32,1,search_exhausted,81,81
J3011_4.RCP,50092,0,time_limit,63,60
J3011_5.RCP,42564,0,time_limit,50,48
J3011_6.RCP,1427,1,search_exhausted,44,44
J3011_7.RCP,45888,0,time_limit,37,35
J3011_8.RCP,501,1,search_exhausted,62,62
J3011_9.RCP,363,1,search_exhausted,67,67
J3012_1.RCP,32,1,search_exhausted,47,47
J3012_10.RCP,32,1,search_exhausted,57,57
J3012_2.RCP,32,1,search_exhausted,46,46
J3012_3.RCP,32,1,search_exhausted,37,37
J3012_4.RCP,32,1,search_exhausted,63,63
J3012_5.RCP,32,1,search_exhausted,47,47
J3012_6.RCP,32,1,search_exhausted,53,53
J3012_7.RCP,32,1,search_exhausted,55,55
J3012_8.RCP,32,1,search_exhausted,35,35
J3012_9.RCP,32,1,search_exhausted,52,52
J3013_1.RCP,60188,0,time_limit,68,34
J3013_10.RCP,55821,0,time_limit,71,52
J3013_2.RCP,59813,0,time_limit,70,32
J3013_3.RCP,51579,0,time_limit,90,45
J3013_4.RCP,53066,0,time_limit,80,50
J3013_5.RCP,60960,0,time_limit,77,43
J3013_6.RCP,52412,0,time_limit,68,44
J3013_7.RCP,52023,0,time_limit,86,50
J3013_8.RCP,59100,0,time_limit,114,48
J3013_9.RCP,48320,0,time_limit,80,51
J3014_1.RCP,58337,0,time_limit,50,43
J3014_10.RCP,47889,0,time_limit,61,58
J3014_2.RCP,51218,0,time_limit,54,44
J3014_3.RCP,49502,0,time_limit,60,58
J3014_4.RCP,48353,0,time_limit,57,45
J3014_5.RCP,44920,0,time_limit,57,50
J3014_6.RCP,44606,0,time_limit,37,34
J3014_7.RCP,50364,0,time_limit,54,47
J3014_8.RCP,143,1,search_exhausted,54,54
J3014_9.RCP,43400,0,time_limit,48,44
J3015_1.RCP,32,1,search_exhausted,46,46
J3015_10.RCP,32,1,search_exhausted,65,65
J3015_2.RCP,114,1,search_exhausted,47,47
J3015_3.RCP,85,1,search_exhausted,48,48
J3015_4.RCP,32,1,search_exhausted,48,48
J3015_5.RCP,55325,0,time_limit,62,56
J3015_6.RCP,32,1,search_exhausted,67,67
J3015_7.RCP,121,1,search_exhausted,47,47
J3015_8.RCP,58843,0,time_limit,50,46
J3015_9.RCP,3167,1,search_exhausted,54,54
